Thomas William Robertson,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Chatterton,,,,,,,,,,,,,,,,,,,,,,,,
Frederick William Rolfe,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Butler,,,,,,,,,,,,,,,,,,,,,,,,
Anna Sewell,,,,,,,,,,,,,,,,,,,,,,,,
Walter Macken,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Harris,,,,,,,,,,,,,,,,,,,,,,,,
C. P. Snow,,,,,,,,,,,,,,,,,,,,,,,,
Ellis Peters,,,,,,,,,,,,,,,,,,,,,,,,
Henry James Pye,,,,,,,,,,,,,,,,,,,,,,,,
Ouida (Maria Louise Ramé),,,,,,,,,,,,,,,,,,,,,,,,
Jennie Jerome Churchill,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Lover,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Smart,,,,,,,,,,,,,,,,,,,,,,,,
Sapper (Herman Cyril McNeile),,,,,,,,,,,,,,,,,,,,,,,,
William Edmondstoune Aytoun,,,,,,,,,,,,,,,,,,,,,,,,
Saint John Ervine,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Bickerstaffe,,,,,,,,,,,,,,,,,,,,,,,,
V. S. Pritchett,,,,,,,,,,,,,,,,,,,,,,,,
Richard Jefferies,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Blanco White,,,,,,,,,,,,,,,,,,,,,,,,
Sir P. G. Wodehouse,,,,,,,,,,,,,,,,,,,,,,,,
Donald Alfred Davie,,,,,,,,,,,,,,,,,,,,,,,,
George du Maurier,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Duncan,,,,,,,,,,,,,,,,,,,,,,,,
Sir William Golding,,,,,,,,,,,,,,,,,,,,,,,,
Henry Luttrell,,,,,,,,,,,,,,,,,,,,,,,,
Mina Loy,,,,,,,,,,,,,,,,,,,,,,,,
Winthrop Mackworth Praed,,,,,,,,,,,,,,,,,,,,,,,,
Neil Miller Gunn,,,,,,,,,,,,,,,,,,,,,,,,
George Douglas,,,,,,,,,,,,,,,,,,,,,,,,
James Herriot,,,,,,,,,,,,,,,,,,,,,,,,
R. M. Ballantyne,,,,,,,,,,,,,,,,,,,,,,,,
Dame Ivy Compton-Burnett,,,,,,,,,,,,,,,,,,,,,,,,
Richard Doddridge Blackmore,,,,,,,,,,,,,,,,,,,,,,,,
William Beckford,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Oliphant,,,,,,,,,,,,,,,,,,,,,,,,
Charles Wesley,,,,,,,,,,,,,,,,,,,,,,,,
Rumer Godden,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Bamford,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Owen,,,,,,,,,,,,,,,,,,,,,,,,
Sir Owen Morgan Edwards,,,,,,,,,,,,,,,,,,,,,,,,
Israel Zangwill,,,,,,,,,,,,,,,,,,,,,,,,
Austin Dobson,,,,,,,,,,,,,,,,,,,,,,,,
John Wyndham,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Firbank,,,,,,,,,,,,,,,,,,,,,,,,
Joyce Cary,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Burgess,,,,,,,,,,,,,,,,,,,,,,,,
Charles Wolfe,,,,,,,,,,,,,,,,,,,,,,,,
Michael Arlen,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Henry Wood,,,,,,,,,,,,,,,,,,,,,,,,
Frederic William Farrar,,,,,,,,,,,,,,,,,,,,,,,,
Sir Angus Frank Johnstone Wilson,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Austin,,,,,,,,,,,,,,,,,,,,,,,,
T. H. White,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Thompson Dobell,,,,,,,,,,,,,,,,,,,,,,,,
Lady Sydney Morgan,,,,,,,,,,,,,,,,,,,,,,,,
Donagh MacDonagh,,,,,,,,,,,,,,,,,,,,,,,,
Richard Owen Cambridge,,,,,,,,,,,,,,,,,,,,,,,,
Pierce Egan the Elder,,,,,,,,,,,,,,,,,,,,,,,,
Sir W. S. Gilbert,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Lowry,,,,,,,,,,,,,,,,,,,,,,,,
Margery Allingham,,,,,,,,,,,,,,,,,,,,,,,,
James Clarence Mangan,,,,,,,,,,,,,,,,,,,,,,,,
Peter Pindar,,,,,,,,,,,,,,,,,,,,,,,,
Philip James Bailey,,,,,,,,,,,,,,,,,,,,,,,,
James Thomson (Bysshe Vanolis),,,,,,,,,,,,,,,,,,,,,,,,
Frederick Marryat,,,,,,,,,,,,,,,,,,,,,,,,
James Stephens,AE (George William Russell),Augusta (Lady Gregory),James Joyce,George Moore,John Millington Synge,William Butler Yeats,,,,,,,,,,,,,,,,,,
Oliver St. John Gogarty,AE (George William Russell),James Joyce,William Butler Yeats,,,,,,,,,,,,,,,,,,,,,
William Butler Yeats,AE (George William Russell),Laurence Binyon,John Davidson,Ernest Dowson,Ford Madox Ford,Oliver St. John Gogarty,Augusta (Lady Gregory),William Ernest Henley,Lionel Johnson,James Joyce,Wyndham Lewis,Edward Martyn,John Masefield,George Moore,Frank O'Connor,John Cowper Powys,George Bernard Shaw,Dame Edith Sitwell,James Stephens,Arthur Symons,John Millington Synge,Evelyn Underhill,Vernon Phillips Watkins,Oscar Wilde
